275,864
582,937
692,943
387,853
566,303
498,332
797,598
44,700
844,269
729,18
788,140
57,157
792,515
534,50
537,918
823,78
345,740
562,762
874,799
257,991
377,789
325,133
376,648
591,64
956,681
293,94
539,824
1,930
374,570
309,924
780,744
397,379
648,390
315,778
845,39
22,428
447,724
843,765
815,372
762,789
729,404
507,470
33,917
266,749
288,710
275,681
248,806
779,488
325,846
114,83
374,562
557,281
541,129
752,46
396,750
197,817
25,698
917,601
621,922
670,537
348,757
892,448
883,407
411,771
932,561
960,997
217,585
619,520
264,108
272,360
760,475
495,679
883,586
957,390
822,863
538,685
417,634
62,209
63,520
851,218
529,410
706,224
411,439
152,624
418,430
72,275
875,869
437,964
880,144
374,580
696,991
273,968
805,74
517,962
355,972
324,746
513,639
160,909
770,960
810,700
817,385
264,500
593,637
100,67
675,533
25,606
422,362
284,354
517,270
650,263
350,107
14,91
694,442
483,428
838,241
937,516
824,248
230,509
644,230
615,48
817,650
331,265
532,708
190,742
849,456
708,466
979,384
304,914
876,386
814,93
334,732
432,301
390,956
205,114
316,410
743,661
78,837
930,763
543,493
294,828
928,525
856,735
137,112
316,299
563,864
868,458
939,995
237,704
707,931
410,181
164,80
250,314
936,242
535,703
664,974
156,811
735,450
265,690
173,856
650,674
48,200
253,20
214,496
682,725
499,327
214,219
845,573
538,804
621,287
500,49
284,595
181,429
536,499
14,939
553,527
286,432
684,807
782,657
340,619
832,114
683,335
33,280
572,312
231,496
234,639
153,227
783,530
711,494
679,646
599,684
511,841
52,91
449,138
887,363
459,786
396,1000
990,953
846,39
324,957
877,462
723,236
575,282
191,475
760,208
247,540
813,194
642,691
310,671
479,108
612,93
633,692
858,584
984,443
482,924
957,245
885,289
611,673
867,523
830,171
929,471
768,357
251,751
438,271
788,456
452,120
244,597
769,314
310,16
176,275
529,802
716,471
40,997
645,32
653,245
55,135
412,307
946,25
383,481
877,678
721,941
889,946
185,860
755,336
635,231
840,847
844,761
644,37
262,535
965,263
374,649
44,247
205,275
514,826
358,659
467,740
754,238
4,655
105,720
316,425
793,439
851,956
43,292
424,112
486,829
21,78
203,116
650,84
161,203
300,453
452,627
658,648
629,640
554,701
46,678
171,499
247,624
822,984
577,137
593,545
981,572
629,269
235,224
87,293
116,550
938,247
632,952
926,918
953,261
504,123
93,81
977,628
121,736
604,837
66,352
344,589
437,672
764,521
834,783
848,530
770,492
403,445
58,877
925,790
537,193
941,991
346,800
188,351
827,692
935,588
263,661
318,269
571,764
655,491
251,300
167,158
928,588
401,64
266,843
638,120
71,357
247,493
348,72
945,677
608,835
755,396
783,931
604,206
402,304
3,123
17,355
792,668
544,380
857,133
395,717
728,69
710,809
895,271
530,608
160,182
1,172
318,224
815,750
428,684
44,996
162,941
26,397
503,223
362,270
73,906
768,685
127,184
820,286
25,417
662,21
740,296
875,289
630,385
450,867
936,296
924,753
240,96
231,497
266,287
119,438
88,477
26,641
410,510
174,619
795,760
787,153
494,800
679,106
374,319
172,783
395,985
722,539
340,352
732,614
98,315
446,329
437,861
83,455
145,859
824,411
521,556
318,120
706,230
842,12
971,703
502,453
500,496
843,320
638,517
927,975
283,262
637,37
761,675
988,743
590,614
314,909
396,607
624,1000
935,274
702,755
337,731
704,510
170,586
57,912
98,194
634,730
74,678
599,387
29,904
707,25
234,865
408,603
184,654
329,626
879,367
584,563
503,216
668,202
469,153
344,923
681,829
301,870
167,257
683,263
945,544
621,978
597,689
168,651
177,162
735,55
515,979
454,607
448,323
753,636
609,595
284,369
95,15
61,719
99,29
926,212
2,217
863,107
707,833
93,501
442,420
34,513
878,152
214,828
721,101
238,658
428,563
345,955
958,438
211,80
31,975
981,321
400,293
979,762
973,869
319,441
94,909
223,673
486,893
354,172
347,299
4,824
366,177
600,756
426,931
706,109
238,122
946,764
664,341
200,358
656,563
436,904
483,325
355,365
39,835
97,258
90,188
900,887
542,339
964,372
433,773
522,313
278,929
21,807
868,58
545,849
93,59
256,860
792,177
910,310
785,294
923,152
70,752
385,963
40,248
979,310
752,783
181,927
140,144
824,511
70,214
905,681
486,507
648,725
15,646
285,443
788,631
825,491
933,337
62,976
403,500
670,381
111,309
341,745
7,116
307,322
276,681
262,604
284,641
825,748
619,283
761,707
641,518
417,946
975,669
525,106
575,922
657,136
319,127
644,572
183,100
458,127
435,131
182,523
572,494
735,281
640,899
813,682
863,198
146,430
835,848
895,525
219,393
223,718
493,842
471,315
924,421
743,363
786,355
337,278
544,530
163,694
503,211
226,196
102,652
229,957
951,449
14,572
915,881
905,624
806,906
57,828
833,822
700,308
473,393
844,224
602,931
746,143
535,744
734,806
275,965
445,922
721,864
42,630
753,620
606,253
595,491
230,919
711,261
791,340
947,468
745,238
122,903
571,597
866,557
171,973
970,696
420,579
686,839
122,514
483,800
479,595
318,634
600,920
121,881
749,126
658,703
377,784
139,967
23,29
587,416
358,579
384,754
681,467
921,877
556,303
979,267
653,128
197,370
677,6
273,476
944,473
312,229
304,902
975,171
